"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Oahu visitors","Purpose: Sport events (%)","percent","","","","","2.4","2.1","2.4","2.3","2.3","2.5","2.0","1.7","1.6","1.7","1.6","1.5","1.2","1.2","1.0","1.1","1.2","0.9","0.4"
"Oahu visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.2","0.4","0.5","0.5","0.5","0.3"
"Oahu visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","6.3","6.3","5.9","5.7","5.1","5.0","2.5"
"Hawaii ISL visitors","Avg. age of party head","number","","","","","","","","","","","","","","","47.8","47.9","48.0","47.7","47.7","47.6","47.5","48.0",""
"Visitor from US","First timer (%)","percent","","","","","","","","","","","","","","","","","","","","26.7","26.7","23.8","29.1"
"Hawaii ISL visitors","First timer (%)","percent","38.4","38.2","37.2","36.0","35.8","35.6","35.9","35.7","37.1","35.9","34.4","33.8","34.3","35.1","34.6","35.8","35.1","35.3","35.9","33.8","32.9","26.8","26.1"
"Visitor from US","Repeaters (%)","percent","","","","","","","","","","","","","","","","","","","","73.3","73.3","76.2","70.9"
"Hawaii ISL visitors","Repeaters (%)","percent","61.6","61.8","62.8","64.0","64.2","64.4","64.1","64.3","62.9","64.1","65.6","66.2","65.7","64.9","65.4","64.2","64.9","64.7","64.1","66.2","67.1","73.2","73.9"
"Visitor from US","Purpose: Pleasure-net (%)","percent","","","","","","","","","","","","","","","","","","","","82.8","83.2","76.8","86.3"
"Hawaii ISL visitors","Purpose: Pleasure-net (%)","percent","80.4","80.1","80.9","83.0","83.6","84.9","83.4","84.5","84.9","83.7","84.8","85.3","85.3","86.3","86.4","85.9","86.1","85.5","87.0","86.9","87.1","82.0","86.7"
"Visitor from US","Accom: Hotel only (%)","percent","","","","","","","","","","","","","","","","","","","","44.1","45.0","39.8","45.2"
"Hawaii ISL visitors","Accom: Hotel only (%)","percent","55.8","58.3","54.5","52.4","50.5","50.2","48.9","43.7","40.1","43.5","43.3","44.6","43.8","44.9","43.6","43.5","42.1","41.9","41.3","38.6","38.8","32.7","32.8"
"Visitor from US","Purpose: Vacation (%)","percent","","","","","","","","","","","","","","","","","","","","79.6","80.3","74.5","83.0"
"Hawaii ISL visitors","Purpose: Vacation (%)","percent","","","","","","78.0","76.7","78.9","79.3","78.1","78.5","79.3","79.6","80.4","81.0","80.1","81.3","80.7","82.3","82.8","83.5","79.5","83.8"
"Visitor from US","Accom: Condo (%)","percent","","","","","","","","","","","","","","","","","","","","17.9","17.3","18.0","19.4"
