"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Molokai visitors","Accom: Cruise ship (%)","percent","14.1","14.5","20.2","3.8","7.9","8.7","11.9","13.4","18.9","11.1","9.7","10.0","11.7","9.8","10.0","10.5","9.2","8.2","11.4","10.4","9.6","6.6","0.3"
"Molokai visitors","Purpose: Incentive (%)","percent","0.9","1.2","1.4","1.3","1.7","1.3","1.6","1.9","0.9","2.4","0.9","0.8","1.3","1.1","1.0","1.3","1.8","1.3","1.1","0.6","1.0","0.4","0.6"
"Molokai visitors","Accom: Friends/Relatives (%)","percent","13.6","13.0","10.6","12.7","13.0","13.0","15.3","21.1","12.5","13.7","18.4","15.4","14.3","15.0","13.9","14.4","13.8","15.1","13.5","14.3","16.2","16.5","19.5"
"Molokai visitors","Purpose: Other business (%)","percent","4.7","4.3","3.7","4.7","4.2","5.4","4.8","4.8","4.4","4.6","5.0","4.6","4.2","4.2","3.8","4.8","4.5","3.8","3.8","3.5","3.6","4.3","4.6"
"Molokai visitors","Accom: B&B (%)","percent","3.8","3.6","2.4","2.5","2.6","2.8","2.6","3.1","3.3","3.4","3.9","3.9","3.4","3.7","4.2","4.0","4.0","3.2","2.8","3.1","4.5","3.1","2.4"
"Molokai visitors","Purpose: Visit Friends/Relative (%)","percent","8.3","8.9","7.8","9.4","10.3","11.2","10.7","11.8","11.1","10.9","14.6","12.6","13.0","13.2","12.0","12.3","11.4","12.7","12.4","12.8","13.4","13.1","18.1"
"Molokai visitors","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","2.4","2.5","2.2","1.5","2.6","1.5","1.7","1.5"
"Molokai visitors","Purpose: Govt/Military (%)","percent","1.3","1.6","1.5","1.5","2.1","1.0","2.3","0.8","2.2","1.3","1.2","1.1","1.3","1.1","0.7","1.1","1.3","1.1","0.7","0.9","0.6","0.8","1.0"
"Molokai visitors","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","2.2","2.4","2.0","1.6","1.7","3.4","1.8","1.5"
"Molokai visitors","Purpose: Attend school (%)","percent","1.0","0.7","0.8","0.4","0.5","0.6","0.5","0.5","0.7","0.4","0.5","0.5","0.5","0.4","0.5","0.7","0.7","0.7","0.7","0.7","0.5","0.3","0.5"
"Molokai visitors","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","2.7","3.4","3.4","2.5","2.9","2.2"
"Molokai visitors","Purpose: Sport events (%)","percent","","","","","1.8","1.6","1.9","1.3","1.3","1.6","1.7","2.2","1.7","1.9","1.8","2.5","1.8","1.6","1.6","1.1","2.4","0.4","0.3"
"Molokai visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.3","0.9","1.0","3.2","1.2","0.9"
"Molokai visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","6.3","4.0","4.2","3.9","4.5","5.7","4.0"
"Lanai visitors","Avg. age of party head","number","","","","","","","","","","","","","","","48.4","48.8","48.7","49.1","49.3","48.9","49.4","49.1",""
"Lanai visitors","First timer (%)","percent","36.9","38.3","39.5","36.7","36.8","36.6","40.4","36.2","39.7","36.7","33.9","32.4","31.9","32.9","33.7","34.8","39.7","37.5","36.7","39.2","37.0","29.6","29.8"
"Lanai visitors","Repeaters (%)","percent","63.1","61.7","60.5","63.3","63.2","63.4","59.6","63.8","60.3","63.3","66.1","67.6","68.1","67.1","66.3","65.2","60.3","62.5","63.3","60.8","63.0","70.4","70.2"
"Lanai visitors","Purpose: Pleasure-net (%)","percent","78.7","77.9","82.6","79.0","83.0","83.5","84.8","85.4","82.7","80.5","83.5","81.8","82.2","83.8","84.7","84.4","82.4","83.9","84.2","85.8","85.8","82.1","87.6"
"Lanai visitors","Accom: Hotel only (%)","percent","55.5","55.6","48.6","57.8","54.9","50.9","43.9","40.9","45.4","49.4","48.2","51.8","50.1","49.7","48.4","45.8","43.4","46.6","46.6","46.6","48.9","46.9","53.3"
"Lanai visitors","Purpose: Vacation (%)","percent","","","","","","75.2","78.0","79.7","76.3","74.5","76.5","75.5","76.5","78.4","79.5","78.4","77.1","79.1","79.6","80.1","81.8","79.0","79.8"
"Lanai visitors","Accom: Condo (%)","percent","15.2","14.7","13.4","16.0","16.9","17.3","16.3","14.3","14.4","16.3","17.5","16.6","17.1","17.5","20.0","17.9","19.2","16.7","15.6","16.6","14.7","17.0","18.0"
"Lanai visitors","Purpose: Honeymoon/Get married (%)","percent","","","9.0","9.9","10.3","9.7","","","","","","","","","","","6.6","6.1","5.6","6.5","4.7","4.2","9.0"
"Lanai visitors","Accom: Condo only (%)","percent","11.4","10.0","9.7","10.4","10.7","10.8","10.2","9.5","8.6","10.6","11.1","10.3","10.4","11.0","12.7","11.7","13.1","11.5","10.6","10.3","10.4","12.5","12.5"
"Lanai visitors","Purpose: Honeymoon (%)","percent","7.4","9.7","","","","8.0","7.1","5.9","7.1","6.4","6.7","6.6","5.8","5.6","4.9","6.4","5.7","5.5","4.9","5.9","4.1","3.0","8.1"
"Lanai visitors","Accom: Timeshare (%)","percent","","3.4","3.8","4.6","5.3","6.1","6.8","5.5","5.8","7.2","8.3","8.7","7.4","7.5","7.5","9.1","8.9","9.4","7.6","7.1","6.0","6.0","7.6"
"Lanai visitors","Purpose: Get married (%)","percent","","","","","","","1.6","1.3","1.6","1.7","2.2","1.2","1.3","1.5","1.6","1.7","1.3","1.1","1.2","1.6","0.8","1.4","1.5"
"Lanai visitors","Accom: Timeshare only (%)","percent","","2.1","2.4","2.7","3.1","3.6","3.8","3.4","3.6","4.5","5.1","5.1","4.7","5.0","4.6","5.8","5.6","6.7","5.4","3.8","4.1","3.8","5.6"
"Lanai visitors","Purpose: MCI-net (%)","percent","12.3","14.3","9.1","10.3","10.6","10.6","8.3","7.9","9.4","12.0","9.8","10.5","10.7","8.6","8.8","6.5","7.9","7.4","6.7","7.1","5.1","7.7","3.7"
"Lanai visitors","Accom: Rental house (%)","percent","","","","","2.4","3.0","3.2","2.8","3.5","3.9","4.1","4.3","5.1","6.3","5.9","6.8","8.3","7.1","7.1","8.7","9.7","9.5","10.5"
"Lanai visitors","Purpose: Conventions (%)","percent","6.3","6.8","4.3","5.7","5.4","5.5","4.2","3.5","4.1","4.2","3.9","5.0","4.3","3.4","3.7","2.5","4.6","2.3","2.3","2.0","1.8","2.2","1.0"
"Lanai visitors","Purpose: Corporate meetings (%)","percent","3.5","4.2","2.9","2.1","2.3","2.2","2.1","2.0","2.6","2.9","2.7","2.4","2.8","2.3","2.3","1.5","1.4","1.8","1.9","1.8","1.0","2.5","1.4"
"Lanai visitors","Accom: Cruise ship (%)","percent","13.3","13.9","22.0","6.5","10.8","13.2","19.7","19.2","21.5","13.0","10.2","8.4","10.6","8.1","9.3","11.0","11.0","10.1","12.6","11.8","8.3","6.7","0.2"
"Lanai visitors","Purpose: Incentive (%)","percent","2.8","3.7","3.3","3.1","3.7","3.7","2.7","2.9","3.3","5.8","3.8","3.7","4.3","3.7","3.6","3.0","2.6","3.9","2.6","3.7","2.6","3.4","1.7"
"Lanai visitors","Accom: Friends/Relatives (%)","percent","7.5","7.0","7.9","9.7","9.4","8.6","9.5","16.3","8.0","9.1","11.6","9.6","9.1","10.4","8.8","10.1","10.4","9.6","8.9","8.3","10.3","11.6","9.6"
"Lanai visitors","Purpose: Other business (%)","percent","3.4","3.6","3.6","4.2","4.2","4.1","4.0","3.9","3.7","3.5","3.8","4.5","3.5","3.5","3.9","5.3","4.4","4.4","3.6","3.2","3.6","4.5","3.4"
"Lanai visitors","Accom: B&B (%)","percent","1.8","1.6","2.2","1.9","1.9","1.8","1.9","1.5","2.1","2.1","1.8","2.1","1.9","2.4","2.2","2.3","2.9","2.0","2.0","1.7","3.0","1.5","1.7"
"Lanai visitors","Purpose: Visit Friends/Relative (%)","percent","5.1","5.1","5.3","7.2","8.3","7.6","7.7","7.4","8.1","8.1","9.5","8.2","7.9","9.1","7.7","8.4","10.3","8.3","7.7","7.1","7.4","9.4","8.6"
"Lanai visitors","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","1.5","2.0","1.6","1.1","1.3","1.2","1.2","0.7"
"Lanai visitors","Purpose: Govt/Military (%)","percent","1.2","0.9","1.4","1.0","1.0","0.6","0.8","0.6","1.4","1.2","0.8","1.1","0.9","0.5","0.5","0.9","1.2","0.6","0.5","0.6","0.3","0.6","0.5"
"Lanai visitors","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","1.7","2.0","1.5","1.6","1.1","2.6","1.3","0.7"
"Lanai visitors","Purpose: Attend school (%)","percent","0.4","0.5","0.8","0.9","0.4","0.4","0.3","0.3","0.2","0.3","0.3","0.3","0.4","0.2","0.3","0.6","0.7","0.4","0.5","0.2","0.3","0.2","0.2"
"Lanai visitors","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.6","2.0","1.8","1.8","2.0","1.2"
"Lanai visitors","Purpose: Sport events (%)","percent","","","","","1.3","1.3","1.0","0.7","0.8","0.9","1.0","0.9","0.7","0.9","0.8","1.1","1.1","0.6","0.6","0.7","0.8","0.5","0.1"
"Lanai visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.2","0.5","0.6","1.6","0.7","0.4"
"Lanai visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","5.1","3.8","4.1","5.0","4.4","3.4","2.2"
"Kauai visitors","Avg. age of party head","number","","","","","","","","","","","","","","","48.4","48.7","48.5","48.2","47.9","47.8","47.8","48.8",""
"Kauai visitors","First timer (%)","percent","40.5","40.0","38.7","37.3","35.9","35.3","35.1","34.3","35.6","32.5","31.1","30.7","30.6","30.6","29.7","30.5","29.8","29.6","30.6","30.4","29.3","25.8","24.1"
"Kauai visitors","Repeaters (%)","percent","59.5","60.0","61.3","62.7","64.1","64.7","64.9","65.7","64.4","67.5","68.9","69.3","69.4","69.4","70.3","69.5","70.2","70.4","69.4","69.6","70.7","74.2","75.9"
"Kauai visitors","Purpose: Pleasure-net (%)","percent","85.4","86.1","87.2","88.7","88.8","89.5","89.8","89.8","89.6","89.5","89.9","89.9","90.5","90.5","91.0","90.9","90.3","90.6","91.1","91.2","91.3","88.0","91.7"
"Kauai visitors","Accom: Hotel only (%)","percent","49.9","49.8","46.2","43.1","39.0","37.6","34.0","30.2","28.4","31.4","29.3","30.0","31.6","32.8","32.6","31.9","32.3","32.8","34.0","33.1","33.4","31.3","32.1"
"Kauai visitors","Purpose: Vacation (%)","percent","","","","","","80.6","81.8","82.7","83.0","82.8","83.2","83.4","84.0","84.4","85.1","84.8","84.9","84.9","85.4","86.1","86.7","84.7","86.6"
"Kauai visitors","Accom: Condo (%)","percent","27.8","22.5","20.4","20.7","23.2","23.2","21.5","20.4","20.1","22.6","22.1","22.2","22.7","22.2","23.1","22.5","21.9","22.0","20.5","21.5","20.3","21.2","22.3"
"Kauai visitors","Purpose: Honeymoon/Get married (%)","percent","","","9.1","11.1","10.7","10.2","","","","","","","","","","","6.4","6.5","6.5","5.8","5.4","3.9","5.9"
"Kauai visitors","Accom: Condo only (%)","percent","21.4","16.8","15.4","14.2","14.9","14.8","13.6","13.0","12.9","14.6","14.8","15.0","15.3","15.1","15.7","15.2","14.9","14.8","13.7","14.6","14.1","14.6","16.1"
"Kauai visitors","Purpose: Honeymoon (%)","percent","9.5","10.1","","","","8.8","8.2","7.3","6.9","6.9","7.1","6.8","6.8","6.4","6.2","6.6","5.7","5.9","5.8","5.2","4.8","3.3","5.4"
"Kauai visitors","Accom: Timeshare (%)","percent","","10.8","13.2","14.5","16.2","17.3","17.6","17.3","16.5","20.1","23.5","22.8","21.3","20.4","19.6","19.2","18.5","18.0","16.5","15.3","15.3","15.1","18.6"
"Kauai visitors","Purpose: Get married (%)","percent","","","","","","","1.7","1.5","1.3","1.5","1.3","1.3","1.3","1.3","1.2","1.4","1.1","1.0","1.0","1.0","0.9","0.8","0.8"
"Kauai visitors","Accom: Timeshare only (%)","percent","","7.9","9.9","10.2","10.7","11.7","11.8","11.9","11.3","14.1","16.9","16.5","15.4","14.8","14.3","14.0","13.5","13.3","11.9","11.3","11.5","11.2","14.6"
"Kauai visitors","Purpose: MCI-net (%)","percent","6.4","6.7","5.4","5.0","5.9","5.6","5.4","5.1","4.7","4.8","4.2","3.8","3.8","4.2","4.0","4.0","4.5","3.9","3.6","3.4","3.0","4.6","1.3"
"Kauai visitors","Accom: Rental house (%)","percent","","","","","5.4","6.3","6.3","6.3","7.1","8.5","8.5","8.7","9.5","10.7","11.3","12.6","13.2","13.3","13.6","15.4","15.3","16.6","19.0"
"Kauai visitors","Purpose: Conventions (%)","percent","4.2","4.4","3.4","3.2","3.7","3.5","3.4","3.1","2.8","3.0","3.0","2.5","2.4","2.5","2.2","2.4","2.6","2.4","2.1","2.2","1.9","3.3","0.7"
"Kauai visitors","Purpose: Corporate meetings (%)","percent","1.2","1.2","1.1","0.9","1.1","0.9","1.0","0.9","1.0","0.9","0.6","0.7","0.7","0.8","0.8","0.9","0.8","0.8","0.8","0.7","0.6","0.8","0.4"
"Kauai visitors","Accom: Cruise ship (%)","percent","5.9","5.0","8.2","10.4","9.2","9.7","15.2","19.8","22.7","11.7","10.3","10.3","9.6","8.6","8.1","8.8","8.5","7.5","8.2","7.1","7.4","5.5","0.0"
"Kauai visitors","Purpose: Incentive (%)","percent","1.1","1.2","1.1","1.1","1.4","1.5","1.3","1.3","1.2","1.2","0.8","0.8","0.8","1.1","1.2","0.9","1.2","1.0","0.9","0.7","0.7","0.7","0.3"
"Kauai visitors","Accom: Friends/Relatives (%)","percent","7.2","6.5","6.8","6.9","7.6","6.8","6.6","7.3","6.8","7.2","8.0","7.6","6.8","6.8","6.6","6.9","6.9","7.1","7.0","7.0","7.1","9.0","8.2"
"Kauai visitors","Purpose: Other business (%)","percent","2.5","2.3","2.2","2.4","2.8","2.7","2.7","2.7","2.6","2.6","2.5","2.6","2.3","2.2","2.2","2.8","2.3","2.2","2.1","2.0","2.0","2.8","1.7"
"Kauai visitors","Accom: B&B (%)","percent","2.5","2.2","2.1","2.0","2.1","2.0","1.8","1.6","1.7","1.9","1.8","1.8","1.8","1.8","1.9","1.8","2.0","1.7","1.9","1.9","1.7","1.7","1.2"
"Kauai visitors","Purpose: Visit Friends/Relative (%)","percent","4.8","4.7","4.6","5.4","6.7","6.5","6.3","6.2","6.7","6.9","7.4","7.0","6.6","6.4","6.3","6.6","6.5","6.3","6.0","6.0","6.2","7.8","8.1"
"Kauai visitors","Accom: Hostel (%)","percent","","","","","","","","","","","","","","","","1.0","1.0","1.0","1.2","1.3","1.2","1.1","0.5"
"Kauai visitors","Purpose: Govt/Military (%)","percent","0.7","0.5","0.5","0.7","0.6","0.6","0.8","0.6","0.7","0.7","0.8","0.7","0.7","0.5","0.4","0.6","0.6","0.6","0.5","0.4","0.4","0.5","0.4"
"Kauai visitors","Accom: Camp site/Beach (%)","percent","","","","","","","","","","","","","","","","1.4","1.5","1.4","1.5","1.4","1.6","1.9","1.1"
"Kauai visitors","Purpose: Attend school (%)","percent","0.4","0.2","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.1","0.2","0.2","0.1","0.1","0.3","0.2","0.2","0.1","0.1","0.1","0.1","0.1"
"Kauai visitors","Accom: Private room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.9","1.7","1.8","1.8","1.7","1.0"
"Kauai visitors","Purpose: Sport events (%)","percent","","","","","0.8","0.7","0.7","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.6","0.4","0.4","0.4","0.4","0.4","0.4","0.1"
"Kauai visitors","Accom: Shared room in private home (%)","percent","","","","","","","","","","","","","","","","","","0.3","0.5","0.5","0.6","0.6","0.3"
"Kauai visitors","Purpose: Other purpose(%)","percent","","","","","","","","","","","","","","","","","2.8","2.8","2.7","2.8","2.6","2.5","1.6"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."
