"Indicator","Market","Destination","Units","2019"
"Visitor days","Montana","Maui Island","days","108,347"
"Visitor days","Montana","Molokai","days","3,004"
"Visitor days","Montana","Lanai","days","1,088"
"Visitor days","Montana","Hilo","days","9,905"
"Visitor days","Montana","Kona","days","64,426"
"Visitor days","N. Carolina","Oahu","days","285,191"
"Visitor days","N. Carolina","Kauai","days","77,441"
"Visitor days","N. Carolina","Maui Island","days","172,921"
"Visitor days","N. Carolina","Molokai","days","1,719"
"Visitor days","N. Carolina","Lanai","days","3,185"
"Visitor days","N. Carolina","Hilo","days","23,830"
"Visitor days","N. Carolina","Kona","days","83,629"
"Visitor days","N. Dakota","Oahu","days","33,188"
"Visitor days","N. Dakota","Kauai","days","13,916"
"Visitor days","N. Dakota","Maui Island","days","32,769"
"Visitor days","N. Dakota","Molokai","days","1,281"
"Visitor days","N. Dakota","Lanai","days","279"
"Visitor days","N. Dakota","Hilo","days","3,818"
"Visitor days","N. Dakota","Kona","days","12,295"
"Visitor days","Nebraska","Oahu","days","79,035"
"Visitor days","Nebraska","Kauai","days","30,471"
"Visitor days","Nebraska","Maui Island","days","71,976"
"Visitor days","Nebraska","Molokai","days","653"
"Visitor days","Nebraska","Lanai","days","701"
"Visitor days","Nebraska","Hilo","days","6,548"
"Visitor days","Nebraska","Kona","days","30,186"
"Visitor days","Nevada","Oahu","days","495,648"
"Visitor days","Nevada","Kauai","days","133,633"
"Visitor days","Nevada","Maui Island","days","335,417"
"Visitor days","Nevada","Molokai","days","4,071"
"Visitor days","Nevada","Lanai","days","4,869"
"Visitor days","Nevada","Hilo","days","36,090"
"Visitor days","Nevada","Kona","days","141,823"
"Visitor days","New Hampshire","Oahu","days","55,896"
"Visitor days","New Hampshire","Kauai","days","19,499"
"Visitor days","New Hampshire","Maui Island","days","37,515"
"Visitor days","New Hampshire","Molokai","days","636"
"Visitor days","New Hampshire","Lanai","days","567"
"Visitor days","New Hampshire","Hilo","days","4,375"
"Visitor days","New Hampshire","Kona","days","17,350"
"Visitor days","New Jersey","Oahu","days","320,917"
"Visitor days","New Jersey","Kauai","days","101,963"
"Visitor days","New Jersey","Maui Island","days","251,779"
"Visitor days","New Jersey","Molokai","days","2,294"
"Visitor days","New Jersey","Lanai","days","3,248"
"Visitor days","New Jersey","Hilo","days","27,923"
"Visitor days","New Jersey","Kona","days","99,890"
"Visitor days","New Mexico","Oahu","days","115,532"
"Visitor days","New Mexico","Kauai","days","58,894"
"Visitor days","New Mexico","Maui Island","days","92,910"
"Visitor days","New Mexico","Molokai","days","1,568"
"Visitor days","New Mexico","Lanai","days","843"
"Visitor days","New Mexico","Hilo","days","12,273"
"Visitor days","New Mexico","Kona","days","43,462"
"Visitor days","New York","Oahu","days","639,862"
"Visitor days","New York","Kauai","days","193,963"
"Visitor days","New York","Maui Island","days","440,096"
"Visitor days","New York","Molokai","days","6,373"
"Visitor days","New York","Lanai","days","9,490"
"Visitor days","New York","Hilo","days","55,837"
"Visitor days","New York","Kona","days","189,128"
"Visitor days","Ohio","Oahu","days","305,233"
"Visitor days","Ohio","Kauai","days","110,265"
"Visitor days","Ohio","Maui Island","days","269,604"
"Visitor days","Ohio","Molokai","days","3,266"
"Visitor days","Ohio","Lanai","days","2,948"
"Visitor days","Ohio","Hilo","days","28,230"
"Visitor days","Ohio","Kona","days","108,662"
"Visitor days","Oklahoma","Oahu","days","131,360"
"Visitor days","Oklahoma","Kauai","days","42,262"
"Visitor days","Oklahoma","Maui Island","days","97,675"
"Visitor days","Oklahoma","Molokai","days","502"
"Visitor days","Oklahoma","Lanai","days","1,048"
"Visitor days","Oklahoma","Hilo","days","9,813"
"Visitor days","Oklahoma","Kona","days","38,194"
"Visitor days","Oregon","Oahu","days","735,931"
"Visitor days","Oregon","Kauai","days","403,073"
"Visitor days","Oregon","Maui Island","days","955,144"
"Visitor days","Oregon","Molokai","days","15,995"
"Visitor days","Oregon","Lanai","days","7,927"
"Visitor days","Oregon","Hilo","days","78,664"
"Visitor days","Oregon","Kona","days","456,809"
"Visitor days","Pennsylvania","Oahu","days","324,501"
"Visitor days","Pennsylvania","Kauai","days","102,768"
"Visitor days","Pennsylvania","Maui Island","days","237,660"
"Visitor days","Pennsylvania","Molokai","days","3,668"
"Visitor days","Pennsylvania","Lanai","days","3,125"
"Visitor days","Pennsylvania","Hilo","days","31,351"
"Visitor days","Pennsylvania","Kona","days","110,982"
"Visitor days","Rhode Island","Oahu","days","37,529"
"Visitor days","Rhode Island","Kauai","days","8,876"
"Visitor days","Rhode Island","Maui Island","days","19,095"
"Visitor days","Rhode Island","Molokai","days","194"
"Visitor days","Rhode Island","Lanai","days","151"
"Visitor days","Rhode Island","Hilo","days","2,838"
"Visitor days","Rhode Island","Kona","days","7,427"
"Visitor days","S. Carolina","Oahu","days","133,771"
"Visitor days","S. Carolina","Kauai","days","32,120"
"Visitor days","S. Carolina","Maui Island","days","72,279"
"Visitor days","S. Carolina","Molokai","days","1,073"
"Visitor days","S. Carolina","Lanai","days","998"
"Visitor days","S. Carolina","Hilo","days","10,608"
"Visitor days","S. Carolina","Kona","days","36,351"
"Visitor days","S. Dakota","Oahu","days","36,539"
"Visitor days","S. Dakota","Kauai","days","15,059"
"Visitor days","S. Dakota","Maui Island","days","34,122"
"Visitor days","S. Dakota","Molokai","days","712"
"Visitor days","S. Dakota","Lanai","days","362"
"Visitor days","S. Dakota","Hilo","days","4,635"
"Visitor days","S. Dakota","Kona","days","16,490"
"Visitor days","Tennessee","Oahu","days","191,479"
"Visitor days","Tennessee","Kauai","days","55,664"
"Visitor days","Tennessee","Maui Island","days","127,315"
"Visitor days","Tennessee","Molokai","days","1,231"
"Visitor days","Tennessee","Lanai","days","2,425"
"Visitor days","Tennessee","Hilo","days","14,502"
"Visitor days","Tennessee","Kona","days","57,866"
"Visitor days","Texas","Oahu","days","1,228,481"
"Visitor days","Texas","Kauai","days","381,420"
"Visitor days","Texas","Maui Island","days","931,133"
"Visitor days","Texas","Molokai","days","9,044"
"Visitor days","Texas","Lanai","days","12,268"
"Visitor days","Texas","Hilo","days","90,253"
"Visitor days","Texas","Kona","days","348,775"
"Visitor days","Utah","Oahu","days","609,121"
"Visitor days","Utah","Kauai","days","315,475"
"Visitor days","Utah","Maui Island","days","427,254"
"Visitor days","Utah","Molokai","days","4,117"
"Visitor days","Utah","Lanai","days","5,303"
"Visitor days","Utah","Hilo","days","32,831"
"Visitor days","Utah","Kona","days","161,605"
"Visitor days","Vermont","Oahu","days","23,871"
"Visitor days","Vermont","Kauai","days","12,199"
"Visitor days","Vermont","Maui Island","days","19,574"
"Visitor days","Vermont","Molokai","days","1,057"
"Visitor days","Vermont","Lanai","days","298"
"Visitor days","Vermont","Hilo","days","3,635"
"Visitor days","Vermont","Kona","days","9,625"
"Visitor days","Virginia","Oahu","days","533,373"
"Visitor days","Virginia","Kauai","days","102,699"
"Visitor days","Virginia","Maui Island","days","212,746"
"Visitor days","Virginia","Molokai","days","2,952"
"Visitor days","Virginia","Lanai","days","3,436"
"Visitor days","Virginia","Hilo","days","31,155"
"Visitor days","Virginia","Kona","days","110,324"
"Visitor days","Washington","Oahu","days","1,840,403"
"Visitor days","Washington","Kauai","days","867,047"
"Visitor days","Washington","Maui Island","days","2,054,975"
"Visitor days","Washington","Molokai","days","33,062"
"Visitor days","Washington","Lanai","days","16,545"
"Visitor days","Washington","Hilo","days","147,652"
"Visitor days","Washington","Kona","days","950,701"
"Visitor days","Washington, D.C.","Oahu","days","52,165"
"Visitor days","Washington, D.C.","Kauai","days","15,761"
"Visitor days","Washington, D.C.","Maui Island","days","30,966"
"Visitor days","Washington, D.C.","Molokai","days","367"
"Visitor days","Washington, D.C.","Lanai","days","512"
"Visitor days","Washington, D.C.","Hilo","days","4,517"
"Visitor days","Washington, D.C.","Kona","days","14,572"
"Visitor days","W. Virginia","Oahu","days","32,239"
"Visitor days","W. Virginia","Kauai","days","7,357"
"Visitor days","W. Virginia","Maui Island","days","17,031"
"Visitor days","W. Virginia","Molokai","days","242"
"Visitor days","W. Virginia","Lanai","days","123"
"Visitor days","W. Virginia","Hilo","days","2,761"
"Visitor days","W. Virginia","Kona","days","8,919"
"Visitor days","Wisconsin","Oahu","days","206,213"
"Visitor days","Wisconsin","Kauai","days","97,263"
"Visitor days","Wisconsin","Maui Island","days","204,835"
"Visitor days","Wisconsin","Molokai","days","2,928"
"Visitor days","Wisconsin","Lanai","days","1,965"
"Visitor days","Wisconsin","Hilo","days","22,644"
"Visitor days","Wisconsin","Kona","days","90,608"
"Visitor days","Wyoming","Oahu","days","34,822"
"Visitor days","Wyoming","Kauai","days","20,385"
"Visitor days","Wyoming","Maui Island","days","34,074"
"Visitor days","Wyoming","Molokai","days","585"
"Visitor days","Wyoming","Lanai","days","569"
"Visitor days","Wyoming","Hilo","days","3,635"
"Visitor days","Wyoming","Kona","days","21,321"
"Length of stay","Alabama","Oahu","days","7.40"
"Length of stay","Alabama","Kauai","days","6.44"
"Length of stay","Alabama","Maui Island","days","7.17"
"Length of stay","Alabama","Molokai","days","4.20"
"Length of stay","Alabama","Lanai","days","3.06"
"Length of stay","Alabama","Hilo","days","4.31"
"Length of stay","Alabama","Kona","days","6.30"
"Length of stay","Alaska","Oahu","days","8.02"
"Length of stay","Alaska","Kauai","days","10.32"
"Length of stay","Alaska","Maui Island","days","10.53"
"Length of stay","Alaska","Molokai","days","11.53"
"Length of stay","Alaska","Lanai","days","4.90"
"Length of stay","Alaska","Hilo","days","7.13"
"Length of stay","Alaska","Kona","days","11.29"
"Length of stay","Arizona","Oahu","days","7.01"
"Length of stay","Arizona","Kauai","days","7.83"
"Length of stay","Arizona","Maui Island","days","8.01"
"Length of stay","Arizona","Molokai","days","4.93"
"Length of stay","Arizona","Lanai","days","3.73"
"Length of stay","Arizona","Hilo","days","4.88"
"Length of stay","Arizona","Kona","days","7.47"
"Length of stay","Arkansas","Oahu","days","7.04"
"Length of stay","Arkansas","Kauai","days","6.97"
"Length of stay","Arkansas","Maui Island","days","7.53"
"Length of stay","Arkansas","Molokai","days","5.38"
"Length of stay","Arkansas","Lanai","days","2.58"
"Length of stay","Arkansas","Hilo","days","4.33"
"Length of stay","Arkansas","Kona","days","6.48"
"Length of stay","California","Oahu","days","6.77"
"Length of stay","California","Kauai","days","7.74"
"Length of stay","California","Maui Island","days","7.67"
"Length of stay","California","Molokai","days","4.92"
"Length of stay","California","Lanai","days","4.17"
"Length of stay","California","Hilo","days","4.69"
"Length of stay","California","Kona","days","7.23"
"Length of stay","Colorado","Oahu","days","7.03"
"Length of stay","Colorado","Kauai","days","8.37"
"Length of stay","Colorado","Maui Island","days","8.35"
"Length of stay","Colorado","Molokai","days","5.83"
"Length of stay","Colorado","Lanai","days","3.79"
"Length of stay","Colorado","Hilo","days","4.83"
"Length of stay","Colorado","Kona","days","8.14"
"Length of stay","Connecticut","Oahu","days","7.14"
"Length of stay","Connecticut","Kauai","days","7.31"
"Length of stay","Connecticut","Maui Island","days","7.95"
"Length of stay","Connecticut","Molokai","days","6.17"
"Length of stay","Connecticut","Lanai","days","3.38"
"Length of stay","Connecticut","Hilo","days","4.64"
"Length of stay","Connecticut","Kona","days","6.90"
"Length of stay","Delaware","Oahu","days","7.56"
"Length of stay","Delaware","Kauai","days","7.17"
"Length of stay","Delaware","Maui Island","days","8.41"
"Length of stay","Delaware","Molokai","days","3.89"
"Length of stay","Delaware","Lanai","days","1.63"
"Length of stay","Delaware","Hilo","days","4.44"
"Length of stay","Delaware","Kona","days","7.30"
"Length of stay","Florida","Oahu","days","7.20"
"Length of stay","Florida","Kauai","days","6.18"
"Length of stay","Florida","Maui Island","days","7.46"
"Length of stay","Florida","Molokai","days","3.70"
"Length of stay","Florida","Lanai","days","3.86"
"Length of stay","Florida","Hilo","days","3.73"
"Length of stay","Florida","Kona","days","6.14"
"Length of stay","Georgia","Oahu","days","7.08"
"Length of stay","Georgia","Kauai","days","6.28"
"Length of stay","Georgia","Maui Island","days","7.12"
"Length of stay","Georgia","Molokai","days","4.64"
"Length of stay","Georgia","Lanai","days","3.39"
"Length of stay","Georgia","Hilo","days","3.88"
"Length of stay","Georgia","Kona","days","6.44"
"Length of stay","Idaho","Oahu","days","7.77"
"Length of stay","Idaho","Kauai","days","8.70"
"Length of stay","Idaho","Maui Island","days","8.71"
"Length of stay","Idaho","Molokai","days","7.88"
"Length of stay","Idaho","Lanai","days","4.99"
"Length of stay","Idaho","Hilo","days","5.47"
"Length of stay","Idaho","Kona","days","8.58"
"Length of stay","Illinois","Oahu","days","6.64"
"Length of stay","Illinois","Kauai","days","7.16"
"Length of stay","Illinois","Maui Island","days","8.08"
"Length of stay","Illinois","Molokai","days","4.57"
"Length of stay","Illinois","Lanai","days","3.70"
"Length of stay","Illinois","Hilo","days","4.04"
"Length of stay","Illinois","Kona","days","6.97"
"Length of stay","Indiana","Oahu","days","6.93"
"Length of stay","Indiana","Kauai","days","7.22"
"Length of stay","Indiana","Maui Island","days","8.10"
"Length of stay","Indiana","Molokai","days","5.96"
"Length of stay","Indiana","Lanai","days","2.95"
"Length of stay","Indiana","Hilo","days","3.80"
"Length of stay","Indiana","Kona","days","6.54"
"Length of stay","Iowa","Oahu","days","7.03"
"Length of stay","Iowa","Kauai","days","7.71"
"Length of stay","Iowa","Maui Island","days","8.35"
"Length of stay","Iowa","Molokai","days","5.29"
"Length of stay","Iowa","Lanai","days","2.71"
"Length of stay","Iowa","Hilo","days","3.97"
"Length of stay","Iowa","Kona","days","7.47"
"Length of stay","Kansas","Oahu","days","7.10"
"Length of stay","Kansas","Kauai","days","7.21"
"Length of stay","Kansas","Maui Island","days","7.93"
"Length of stay","Kansas","Molokai","days","3.52"
"Length of stay","Kansas","Lanai","days","3.69"
"Length of stay","Kansas","Hilo","days","4.20"
"Length of stay","Kansas","Kona","days","6.64"
"Length of stay","Kentucky","Oahu","days","7.18"
"Length of stay","Kentucky","Kauai","days","6.62"
"Length of stay","Kentucky","Maui Island","days","7.80"
"Length of stay","Kentucky","Molokai","days","3.85"
"Length of stay","Kentucky","Lanai","days","3.01"
"Length of stay","Kentucky","Hilo","days","4.08"
"Length of stay","Kentucky","Kona","days","6.68"
"Length of stay","Louisiana","Oahu","days","7.01"
"Length of stay","Louisiana","Kauai","days","6.32"
"Length of stay","Louisiana","Maui Island","days","6.97"
"Length of stay","Louisiana","Molokai","days","3.85"
"Length of stay","Louisiana","Lanai","days","2.99"
"Length of stay","Louisiana","Hilo","days","3.61"
"Length of stay","Louisiana","Kona","days","5.94"
"Length of stay","Maine","Oahu","days","8.81"
"Length of stay","Maine","Kauai","days","8.48"
"Length of stay","Maine","Maui Island","days","9.00"
"Length of stay","Maine","Molokai","days","8.03"
"Length of stay","Maine","Lanai","days","4.16"
"Length of stay","Maine","Hilo","days","5.95"
"Length of stay","Maine","Kona","days","8.17"
"Length of stay","Maryland","Oahu","days","7.47"
"Length of stay","Maryland","Kauai","days","6.68"
"Length of stay","Maryland","Maui Island","days","7.42"
"Length of stay","Maryland","Molokai","days","5.09"
"Length of stay","Maryland","Lanai","days","3.49"
"Length of stay","Maryland","Hilo","days","4.04"
"Length of stay","Maryland","Kona","days","6.41"
"Length of stay","Massachusetts","Oahu","days","7.15"
"Length of stay","Massachusetts","Kauai","days","7.30"
"Length of stay","Massachusetts","Maui Island","days","8.11"
"Length of stay","Massachusetts","Molokai","days","5.26"
"Length of stay","Massachusetts","Lanai","days","3.42"
"Length of stay","Massachusetts","Hilo","days","4.72"
"Length of stay","Massachusetts","Kona","days","7.00"
"Length of stay","Michigan","Oahu","days","7.06"
"Length of stay","Michigan","Kauai","days","7.58"
"Length of stay","Michigan","Maui Island","days","8.57"
"Length of stay","Michigan","Molokai","days","5.29"
"Length of stay","Michigan","Lanai","days","3.73"
"Length of stay","Michigan","Hilo","days","4.33"
"Length of stay","Michigan","Kona","days","7.47"
"Length of stay","Minnesota","Oahu","days","7.21"
"Length of stay","Minnesota","Kauai","days","8.24"
"Length of stay","Minnesota","Maui Island","days","9.01"
"Length of stay","Minnesota","Molokai","days","6.36"
"Length of stay","Minnesota","Lanai","days","3.68"
"Length of stay","Minnesota","Hilo","days","4.41"
"Length of stay","Minnesota","Kona","days","8.17"
"Length of stay","Mississippi","Oahu","days","7.26"
"Length of stay","Mississippi","Kauai","days","6.33"
"Length of stay","Mississippi","Maui Island","days","7.20"
"Length of stay","Mississippi","Molokai","days","4.35"
"Length of stay","Mississippi","Lanai","days","4.25"
"Length of stay","Mississippi","Hilo","days","4.67"
"Length of stay","Mississippi","Kona","days","6.45"
"Length of stay","Missouri","Oahu","days","6.95"
"Length of stay","Missouri","Kauai","days","7.45"
"Length of stay","Missouri","Maui Island","days","7.90"
"Length of stay","Missouri","Molokai","days","4.70"
"Length of stay","Missouri","Lanai","days","4.28"
"Length of stay","Missouri","Hilo","days","3.88"
"Length of stay","Missouri","Kona","days","6.78"
"Length of stay","Montana","Oahu","days","7.88"
"Length of stay","Montana","Kauai","days","9.32"
"Length of stay","Montana","Maui Island","days","9.46"
"Length of stay","Montana","Molokai","days","9.82"
"Length of stay","Montana","Lanai","days","4.62"
"Length of stay","Montana","Hilo","days","5.24"
"Length of stay","Montana","Kona","days","9.67"
"Length of stay","N. Carolina","Oahu","days","7.32"
"Length of stay","N. Carolina","Kauai","days","6.66"
"Length of stay","N. Carolina","Maui Island","days","7.54"
"Length of stay","N. Carolina","Molokai","days","3.74"
"Length of stay","N. Carolina","Lanai","days","3.83"
"Length of stay","N. Carolina","Hilo","days","4.02"
"Length of stay","N. Carolina","Kona","days","6.71"
"Length of stay","N. Dakota","Oahu","days","7.32"
"Length of stay","N. Dakota","Kauai","days","8.35"
"Length of stay","N. Dakota","Maui Island","days","8.54"
"Length of stay","N. Dakota","Molokai","days","17.80"
"Length of stay","N. Dakota","Lanai","days","3.23"
"Length of stay","N. Dakota","Hilo","days","6.56"
"Length of stay","N. Dakota","Kona","days","7.90"
"Length of stay","Nebraska","Oahu","days","6.99"
"Length of stay","Nebraska","Kauai","days","7.26"
"Length of stay","Nebraska","Maui Island","days","7.92"
"Length of stay","Nebraska","Molokai","days","4.33"
"Length of stay","Nebraska","Lanai","days","2.60"
"Length of stay","Nebraska","Hilo","days","4.34"
"Length of stay","Nebraska","Kona","days","7.66"
"Length of stay","Nevada","Oahu","days","7.39"
"Length of stay","Nevada","Kauai","days","7.76"
"Length of stay","Nevada","Maui Island","days","8.14"
"Length of stay","Nevada","Molokai","days","5.42"
"Length of stay","Nevada","Lanai","days","4.96"
"Length of stay","Nevada","Hilo","days","5.44"
"Length of stay","Nevada","Kona","days","7.50"
"Length of stay","New Hampshire","Oahu","days","8.10"
"Length of stay","New Hampshire","Kauai","days","8.31"
"Length of stay","New Hampshire","Maui Island","days","8.81"
"Length of stay","New Hampshire","Molokai","days","7.39"
"Length of stay","New Hampshire","Lanai","days","4.47"
"Length of stay","New Hampshire","Hilo","days","4.29"
"Length of stay","New Hampshire","Kona","days","7.69"
"Length of stay","New Jersey","Oahu","days","6.57"
"Length of stay","New Jersey","Kauai","days","6.28"
"Length of stay","New Jersey","Maui Island","days","7.42"
"Length of stay","New Jersey","Molokai","days","4.14"
"Length of stay","New Jersey","Lanai","days","3.45"
"Length of stay","New Jersey","Hilo","days","3.98"
"Length of stay","New Jersey","Kona","days","6.27"
"Length of stay","New Mexico","Oahu","days","7.46"
"Length of stay","New Mexico","Kauai","days","8.55"
"Length of stay","New Mexico","Maui Island","days","8.29"
"Length of stay","New Mexico","Molokai","days","5.34"
"Length of stay","New Mexico","Lanai","days","3.09"
"Length of stay","New Mexico","Hilo","days","5.28"
"Length of stay","New Mexico","Kona","days","7.76"
"Length of stay","New York","Oahu","days","6.84"
"Length of stay","New York","Kauai","days","6.60"
"Length of stay","New York","Maui Island","days","7.59"
"Length of stay","New York","Molokai","days","5.40"
"Length of stay","New York","Lanai","days","4.07"
"Length of stay","New York","Hilo","days","4.30"
"Length of stay","New York","Kona","days","6.53"
"Length of stay","Ohio","Oahu","days","6.86"
"Length of stay","Ohio","Kauai","days","6.86"
"Length of stay","Ohio","Maui Island","days","7.85"
"Length of stay","Ohio","Molokai","days","5.12"
"Length of stay","Ohio","Lanai","days","3.41"
"Length of stay","Ohio","Hilo","days","3.80"
"Length of stay","Ohio","Kona","days","6.73"
"Length of stay","Oklahoma","Oahu","days","7.29"
"Length of stay","Oklahoma","Kauai","days","7.32"
"Length of stay","Oklahoma","Maui Island","days","7.72"
"Length of stay","Oklahoma","Molokai","days","3.18"
"Length of stay","Oklahoma","Lanai","days","3.42"
"Length of stay","Oklahoma","Hilo","days","4.48"
"Length of stay","Oklahoma","Kona","days","7.18"
"Length of stay","Oregon","Oahu","days","7.55"
"Length of stay","Oregon","Kauai","days","8.75"
"Length of stay","Oregon","Maui Island","days","8.89"
"Length of stay","Oregon","Molokai","days","7.92"
"Length of stay","Oregon","Lanai","days","4.47"
"Length of stay","Oregon","Hilo","days","5.39"
"Length of stay","Oregon","Kona","days","8.85"
"Length of stay","Pennsylvania","Oahu","days","7.07"
"Length of stay","Pennsylvania","Kauai","days","6.50"
"Length of stay","Pennsylvania","Maui Island","days","7.69"
"Length of stay","Pennsylvania","Molokai","days","5.20"
"Length of stay","Pennsylvania","Lanai","days","3.46"
"Length of stay","Pennsylvania","Hilo","days","4.16"
"Length of stay","Pennsylvania","Kona","days","6.91"
"Length of stay","Rhode Island","Oahu","days","7.88"
"Length of stay","Rhode Island","Kauai","days","6.75"
"Length of stay","Rhode Island","Maui Island","days","7.95"
"Length of stay","Rhode Island","Molokai","days","3.24"
"Length of stay","Rhode Island","Lanai","days","2.05"
"Length of stay","Rhode Island","Hilo","days","4.87"
"Length of stay","Rhode Island","Kona","days","6.59"
"Length of stay","S. Carolina","Oahu","days","7.63"
"Length of stay","S. Carolina","Kauai","days","6.53"
"Length of stay","S. Carolina","Maui Island","days","7.57"
"Length of stay","S. Carolina","Molokai","days","4.75"
"Length of stay","S. Carolina","Lanai","days","3.27"
"Length of stay","S. Carolina","Hilo","days","3.81"
"Length of stay","S. Carolina","Kona","days","6.51"
"Length of stay","S. Dakota","Oahu","days","7.39"
"Length of stay","S. Dakota","Kauai","days","8.30"
"Length of stay","S. Dakota","Maui Island","days","8.79"
"Length of stay","S. Dakota","Molokai","days","8.24"
"Length of stay","S. Dakota","Lanai","days","4.26"
"Length of stay","S. Dakota","Hilo","days","5.62"
"Length of stay","S. Dakota","Kona","days","9.13"
"Length of stay","Tennessee","Oahu","days","7.10"
"Length of stay","Tennessee","Kauai","days","6.76"
"Length of stay","Tennessee","Maui Island","days","7.44"
"Length of stay","Tennessee","Molokai","days","3.56"
"Length of stay","Tennessee","Lanai","days","3.77"
"Length of stay","Tennessee","Hilo","days","3.70"
"Length of stay","Tennessee","Kona","days","6.74"
"Length of stay","Texas","Oahu","days","6.86"
"Length of stay","Texas","Kauai","days","7.00"
"Length of stay","Texas","Maui Island","days","7.41"
"Length of stay","Texas","Molokai","days","4.40"
"Length of stay","Texas","Lanai","days","3.45"
"Length of stay","Texas","Hilo","days","4.03"
"Length of stay","Texas","Kona","days","6.54"
"Length of stay","Utah","Oahu","days","7.39"
"Length of stay","Utah","Kauai","days","8.15"
"Length of stay","Utah","Maui Island","days","8.06"
"Length of stay","Utah","Molokai","days","5.16"
"Length of stay","Utah","Lanai","days","4.47"
"Length of stay","Utah","Hilo","days","4.42"
"Length of stay","Utah","Kona","days","7.34"
"Length of stay","Vermont","Oahu","days","8.87"
"Length of stay","Vermont","Kauai","days","10.06"
"Length of stay","Vermont","Maui Island","days","9.57"
"Length of stay","Vermont","Molokai","days","13.17"
"Length of stay","Vermont","Lanai","days","4.16"
"Length of stay","Vermont","Hilo","days","7.48"
"Length of stay","Vermont","Kona","days","9.15"
"Length of stay","Virginia","Oahu","days","7.79"
"Length of stay","Virginia","Kauai","days","6.83"
"Length of stay","Virginia","Maui Island","days","7.53"
"Length of stay","Virginia","Molokai","days","4.58"
"Length of stay","Virginia","Lanai","days","3.96"
"Length of stay","Virginia","Hilo","days","4.27"
"Length of stay","Virginia","Kona","days","6.78"
"Length of stay","Washington","Oahu","days","7.61"
"Length of stay","Washington","Kauai","days","8.84"
"Length of stay","Washington","Maui Island","days","9.02"
"Length of stay","Washington","Molokai","days","8.38"
"Length of stay","Washington","Lanai","days","4.49"
"Length of stay","Washington","Hilo","days","5.06"
"Length of stay","Washington","Kona","days","8.78"
"Length of stay","Washington, D.C.","Oahu","days","6.67"
"Length of stay","Washington, D.C.","Kauai","days","6.67"
"Length of stay","Washington, D.C.","Maui Island","days","7.21"
"Length of stay","Washington, D.C.","Molokai","days","5.06"
"Length of stay","Washington, D.C.","Lanai","days","3.77"
"Length of stay","Washington, D.C.","Hilo","days","4.49"
"Length of stay","Washington, D.C.","Kona","days","6.43"
"Length of stay","W. Virginia","Oahu","days","7.75"
"Length of stay","W. Virginia","Kauai","days","7.03"
"Length of stay","W. Virginia","Maui Island","days","7.69"
"Length of stay","W. Virginia","Molokai","days","4.80"
"Length of stay","W. Virginia","Lanai","days","2.94"
"Length of stay","W. Virginia","Hilo","days","4.11"
"Length of stay","W. Virginia","Kona","days","6.96"
"Length of stay","Wisconsin","Oahu","days","7.09"
"Length of stay","Wisconsin","Kauai","days","7.73"
"Length of stay","Wisconsin","Maui Island","days","8.49"
"Length of stay","Wisconsin","Molokai","days","6.65"
"Length of stay","Wisconsin","Lanai","days","3.40"
"Length of stay","Wisconsin","Hilo","days","4.61"
"Length of stay","Wisconsin","Kona","days","7.81"
"Length of stay","Wyoming","Oahu","days","7.54"
"Length of stay","Wyoming","Kauai","days","8.37"
"Length of stay","Wyoming","Maui Island","days","8.70"
"Length of stay","Wyoming","Molokai","days","7.40"
"Length of stay","Wyoming","Lanai","days","5.40"
"Length of stay","Wyoming","Hilo","days","4.59"
"Length of stay","Wyoming","Kona","days","8.63"
