"Indicator","Market","Destination","Units","2019"
"Visitor arrivals","Louisiana","Molokai","persons","168"
"Visitor arrivals","Louisiana","Lanai","persons","259"
"Visitor arrivals","Louisiana","Hilo","persons","2,042"
"Visitor arrivals","Louisiana","Kona","persons","4,174"
"Visitor arrivals","Maine","Oahu","persons","5,513"
"Visitor arrivals","Maine","Kauai","persons","1,809"
"Visitor arrivals","Maine","Maui Island","persons","3,098"
"Visitor arrivals","Maine","Molokai","persons","76"
"Visitor arrivals","Maine","Lanai","persons","91"
"Visitor arrivals","Maine","Hilo","persons","925"
"Visitor arrivals","Maine","Kona","persons","1,730"
"Visitor arrivals","Maryland","Oahu","persons","41,913"
"Visitor arrivals","Maryland","Kauai","persons","9,901"
"Visitor arrivals","Maryland","Maui Island","persons","19,740"
"Visitor arrivals","Maryland","Molokai","persons","444"
"Visitor arrivals","Maryland","Lanai","persons","561"
"Visitor arrivals","Maryland","Hilo","persons","5,085"
"Visitor arrivals","Maryland","Kona","persons","11,024"
"Visitor arrivals","Massachusetts","Oahu","persons","41,673"
"Visitor arrivals","Massachusetts","Kauai","persons","14,513"
"Visitor arrivals","Massachusetts","Maui Island","persons","27,681"
"Visitor arrivals","Massachusetts","Molokai","persons","508"
"Visitor arrivals","Massachusetts","Lanai","persons","779"
"Visitor arrivals","Massachusetts","Hilo","persons","6,067"
"Visitor arrivals","Massachusetts","Kona","persons","13,545"
"Visitor arrivals","Michigan","Oahu","persons","41,523"
"Visitor arrivals","Michigan","Kauai","persons","17,056"
"Visitor arrivals","Michigan","Maui Island","persons","34,584"
"Visitor arrivals","Michigan","Molokai","persons","684"
"Visitor arrivals","Michigan","Lanai","persons","877"
"Visitor arrivals","Michigan","Hilo","persons","6,723"
"Visitor arrivals","Michigan","Kona","persons","16,069"
"Visitor arrivals","Minnesota","Oahu","persons","48,025"
"Visitor arrivals","Minnesota","Kauai","persons","19,682"
"Visitor arrivals","Minnesota","Maui Island","persons","38,862"
"Visitor arrivals","Minnesota","Molokai","persons","566"
"Visitor arrivals","Minnesota","Lanai","persons","851"
"Visitor arrivals","Minnesota","Hilo","persons","7,197"
"Visitor arrivals","Minnesota","Kona","persons","19,199"
"Visitor arrivals","Mississippi","Oahu","persons","6,676"
"Visitor arrivals","Mississippi","Kauai","persons","1,402"
"Visitor arrivals","Mississippi","Maui Island","persons","3,206"
"Visitor arrivals","Mississippi","Molokai","persons","65"
"Visitor arrivals","Mississippi","Lanai","persons","111"
"Visitor arrivals","Mississippi","Hilo","persons","775"
"Visitor arrivals","Mississippi","Kona","persons","1,720"
"Visitor arrivals","Missouri","Oahu","persons","30,921"
"Visitor arrivals","Missouri","Kauai","persons","11,596"
"Visitor arrivals","Missouri","Maui Island","persons","22,882"
"Visitor arrivals","Missouri","Molokai","persons","415"
"Visitor arrivals","Missouri","Lanai","persons","709"
"Visitor arrivals","Missouri","Hilo","persons","4,562"
"Visitor arrivals","Missouri","Kona","persons","10,328"
"Visitor arrivals","Montana","Oahu","persons","10,440"
"Visitor arrivals","Montana","Kauai","persons","7,158"
"Visitor arrivals","Montana","Maui Island","persons","11,457"
"Visitor arrivals","Montana","Molokai","persons","306"
"Visitor arrivals","Montana","Lanai","persons","236"
"Visitor arrivals","Montana","Hilo","persons","1,891"
"Visitor arrivals","Montana","Kona","persons","6,662"
"Visitor arrivals","N. Carolina","Oahu","persons","38,943"
"Visitor arrivals","N. Carolina","Kauai","persons","11,631"
"Visitor arrivals","N. Carolina","Maui Island","persons","22,933"
"Visitor arrivals","N. Carolina","Molokai","persons","459"
"Visitor arrivals","N. Carolina","Lanai","persons","831"
"Visitor arrivals","N. Carolina","Hilo","persons","5,921"
"Visitor arrivals","N. Carolina","Kona","persons","12,470"
"Visitor arrivals","N. Dakota","Oahu","persons","4,532"
"Visitor arrivals","N. Dakota","Kauai","persons","1,667"
"Visitor arrivals","N. Dakota","Maui Island","persons","3,836"
"Visitor arrivals","N. Dakota","Molokai","persons","72"
"Visitor arrivals","N. Dakota","Lanai","persons","86"
"Visitor arrivals","N. Dakota","Hilo","persons","582"
"Visitor arrivals","N. Dakota","Kona","persons","1,557"
"Visitor arrivals","Nebraska","Oahu","persons","11,315"
"Visitor arrivals","Nebraska","Kauai","persons","4,197"
"Visitor arrivals","Nebraska","Maui Island","persons","9,089"
"Visitor arrivals","Nebraska","Molokai","persons","151"
"Visitor arrivals","Nebraska","Lanai","persons","269"
"Visitor arrivals","Nebraska","Hilo","persons","1,510"
"Visitor arrivals","Nebraska","Kona","persons","3,940"
"Visitor arrivals","Nevada","Oahu","persons","67,113"
"Visitor arrivals","Nevada","Kauai","persons","17,214"
"Visitor arrivals","Nevada","Maui Island","persons","41,208"
"Visitor arrivals","Nevada","Molokai","persons","751"
"Visitor arrivals","Nevada","Lanai","persons","981"
"Visitor arrivals","Nevada","Hilo","persons","6,631"
"Visitor arrivals","Nevada","Kona","persons","18,919"
"Visitor arrivals","New Hampshire","Oahu","persons","6,899"
"Visitor arrivals","New Hampshire","Kauai","persons","2,346"
"Visitor arrivals","New Hampshire","Maui Island","persons","4,260"
"Visitor arrivals","New Hampshire","Molokai","persons","86"
"Visitor arrivals","New Hampshire","Lanai","persons","127"
"Visitor arrivals","New Hampshire","Hilo","persons","1,020"
"Visitor arrivals","New Hampshire","Kona","persons","2,256"
"Visitor arrivals","New Jersey","Oahu","persons","48,860"
"Visitor arrivals","New Jersey","Kauai","persons","16,248"
"Visitor arrivals","New Jersey","Maui Island","persons","33,950"
"Visitor arrivals","New Jersey","Molokai","persons","554"
"Visitor arrivals","New Jersey","Lanai","persons","941"
"Visitor arrivals","New Jersey","Hilo","persons","7,020"
"Visitor arrivals","New Jersey","Kona","persons","15,930"
"Visitor arrivals","New Mexico","Oahu","persons","15,481"
"Visitor arrivals","New Mexico","Kauai","persons","6,890"
"Visitor arrivals","New Mexico","Maui Island","persons","11,203"
"Visitor arrivals","New Mexico","Molokai","persons","294"
"Visitor arrivals","New Mexico","Lanai","persons","273"
"Visitor arrivals","New Mexico","Hilo","persons","2,322"
"Visitor arrivals","New Mexico","Kona","persons","5,604"
"Visitor arrivals","New York","Oahu","persons","93,602"
"Visitor arrivals","New York","Kauai","persons","29,376"
"Visitor arrivals","New York","Maui Island","persons","57,998"
"Visitor arrivals","New York","Molokai","persons","1,180"
"Visitor arrivals","New York","Lanai","persons","2,333"
"Visitor arrivals","New York","Hilo","persons","12,997"
"Visitor arrivals","New York","Kona","persons","28,968"
"Visitor arrivals","Ohio","Oahu","persons","44,467"
"Visitor arrivals","Ohio","Kauai","persons","16,079"
"Visitor arrivals","Ohio","Maui Island","persons","34,355"
"Visitor arrivals","Ohio","Molokai","persons","637"
"Visitor arrivals","Ohio","Lanai","persons","864"
"Visitor arrivals","Ohio","Hilo","persons","7,431"
"Visitor arrivals","Ohio","Kona","persons","16,142"
"Visitor arrivals","Oklahoma","Oahu","persons","18,023"
"Visitor arrivals","Oklahoma","Kauai","persons","5,773"
"Visitor arrivals","Oklahoma","Maui Island","persons","12,657"
"Visitor arrivals","Oklahoma","Molokai","persons","158"
"Visitor arrivals","Oklahoma","Lanai","persons","306"
"Visitor arrivals","Oklahoma","Hilo","persons","2,193"
"Visitor arrivals","Oklahoma","Kona","persons","5,321"
"Visitor arrivals","Oregon","Oahu","persons","97,532"
"Visitor arrivals","Oregon","Kauai","persons","46,059"
"Visitor arrivals","Oregon","Maui Island","persons","107,429"
"Visitor arrivals","Oregon","Molokai","persons","2,019"
"Visitor arrivals","Oregon","Lanai","persons","1,773"
"Visitor arrivals","Oregon","Hilo","persons","14,591"
"Visitor arrivals","Oregon","Kona","persons","51,612"
"Visitor arrivals","Pennsylvania","Oahu","persons","45,917"
"Visitor arrivals","Pennsylvania","Kauai","persons","15,813"
"Visitor arrivals","Pennsylvania","Maui Island","persons","30,913"
"Visitor arrivals","Pennsylvania","Molokai","persons","706"
"Visitor arrivals","Pennsylvania","Lanai","persons","903"
"Visitor arrivals","Pennsylvania","Hilo","persons","7,533"
"Visitor arrivals","Pennsylvania","Kona","persons","16,050"
"Visitor arrivals","Rhode Island","Oahu","persons","4,761"
"Visitor arrivals","Rhode Island","Kauai","persons","1,315"
"Visitor arrivals","Rhode Island","Maui Island","persons","2,401"
"Visitor arrivals","Rhode Island","Molokai","persons","60"
"Visitor arrivals","Rhode Island","Lanai","persons","74"
"Visitor arrivals","Rhode Island","Hilo","persons","583"
"Visitor arrivals","Rhode Island","Kona","persons","1,127"
"Visitor arrivals","S. Carolina","Oahu","persons","17,534"
"Visitor arrivals","S. Carolina","Kauai","persons","4,916"
"Visitor arrivals","S. Carolina","Maui Island","persons","9,544"
"Visitor arrivals","S. Carolina","Molokai","persons","226"
"Visitor arrivals","S. Carolina","Lanai","persons","305"
"Visitor arrivals","S. Carolina","Hilo","persons","2,787"
"Visitor arrivals","S. Carolina","Kona","persons","5,585"
"Visitor arrivals","S. Dakota","Oahu","persons","4,943"
"Visitor arrivals","S. Dakota","Kauai","persons","1,814"
"Visitor arrivals","S. Dakota","Maui Island","persons","3,882"
"Visitor arrivals","S. Dakota","Molokai","persons","86"
"Visitor arrivals","S. Dakota","Lanai","persons","85"
"Visitor arrivals","S. Dakota","Hilo","persons","825"
"Visitor arrivals","S. Dakota","Kona","persons","1,806"
"Visitor arrivals","Tennessee","Oahu","persons","26,954"
"Visitor arrivals","Tennessee","Kauai","persons","8,237"
"Visitor arrivals","Tennessee","Maui Island","persons","17,112"
"Visitor arrivals","Tennessee","Molokai","persons","346"
"Visitor arrivals","Tennessee","Lanai","persons","644"
"Visitor arrivals","Tennessee","Hilo","persons","3,921"
"Visitor arrivals","Tennessee","Kona","persons","8,587"
"Visitor arrivals","Texas","Oahu","persons","179,093"
"Visitor arrivals","Texas","Kauai","persons","54,479"
"Visitor arrivals","Texas","Maui Island","persons","125,738"
"Visitor arrivals","Texas","Molokai","persons","2,056"
"Visitor arrivals","Texas","Lanai","persons","3,554"
"Visitor arrivals","Texas","Hilo","persons","22,411"
"Visitor arrivals","Texas","Kona","persons","53,314"
"Visitor arrivals","Utah","Oahu","persons","82,476"
