"Group","Indicator","X2019"
"Maui visitors","Purpose: Attend school (%)",0.1
"Maui visitors","Accom: Private room in private home (%)",1.4
"Maui visitors","Purpose: Sport events (%)",0.6
"Maui visitors","Accom: Shared room in private home (%)",0.4
"Maui visitors","Purpose: Other purpose(%)",2.6
"Molokai visitors","Avg. age of party head",50.2
"Molokai visitors","First timer (%)",34.4
"Molokai visitors","Repeaters (%)",65.6
"Molokai visitors","Purpose: Pleasure-net (%)",83.1
"Molokai visitors","Accom: Hotel only (%)",29.9
"Molokai visitors","Purpose: Vacation (%)",79.6
"Molokai visitors","Accom: Condo (%)",22.9
"Molokai visitors","Purpose: Honeymoon/Get married (%)",4.4
"Molokai visitors","Accom: Condo only (%)",13.9
"Molokai visitors","Purpose: Honeymoon (%)",3.5
"Molokai visitors","Accom: Timeshare (%)",6.2
"Molokai visitors","Purpose: Get married (%)",1.1
"Molokai visitors","Accom: Timeshare only (%)",3.7
"Molokai visitors","Purpose: MCI-net (%)",4
"Molokai visitors","Accom: Rental house (%)",14.9
"Molokai visitors","Purpose: Conventions (%)",2.3
"Molokai visitors","Purpose: Corporate meetings (%)",0.9
"Molokai visitors","Accom: Cruise ship (%)",9.6
"Molokai visitors","Purpose: Incentive (%)",1
"Molokai visitors","Accom: Friends/Relatives (%)",16.2
"Molokai visitors","Purpose: Other business (%)",3.6
"Molokai visitors","Accom: B&B (%)",4.5
"Molokai visitors","Purpose: Visit Friends/Relative (%)",13.4
"Molokai visitors","Accom: Hostel (%)",1.5
"Molokai visitors","Purpose: Govt/Military (%)",0.6
"Molokai visitors","Accom: Camp site/Beach (%)",3.4
"Molokai visitors","Purpose: Attend school (%)",0.5
"Molokai visitors","Accom: Private room in private home (%)",2.5
"Molokai visitors","Purpose: Sport events (%)",2.4
"Molokai visitors","Accom: Shared room in private home (%)",3.2
"Molokai visitors","Purpose: Other purpose(%)",4.5
"Lanai visitors","Avg. age of party head",49.4
"Lanai visitors","First timer (%)",37
"Lanai visitors","Repeaters (%)",63
"Lanai visitors","Purpose: Pleasure-net (%)",85.8
"Lanai visitors","Accom: Hotel only (%)",48.9
"Lanai visitors","Purpose: Vacation (%)",81.8
"Lanai visitors","Accom: Condo (%)",14.7
"Lanai visitors","Purpose: Honeymoon/Get married (%)",4.7
"Lanai visitors","Accom: Condo only (%)",10.4
"Lanai visitors","Purpose: Honeymoon (%)",4.1
"Lanai visitors","Accom: Timeshare (%)",6
"Lanai visitors","Purpose: Get married (%)",0.8
"Lanai visitors","Accom: Timeshare only (%)",4.1
"Lanai visitors","Purpose: MCI-net (%)",5.1
"Lanai visitors","Accom: Rental house (%)",9.7
"Lanai visitors","Purpose: Conventions (%)",1.8
"Lanai visitors","Purpose: Corporate meetings (%)",1
"Lanai visitors","Accom: Cruise ship (%)",8.3
"Lanai visitors","Purpose: Incentive (%)",2.6
"Lanai visitors","Accom: Friends/Relatives (%)",10.3
"Lanai visitors","Purpose: Other business (%)",3.6
"Lanai visitors","Accom: B&B (%)",3
"Lanai visitors","Purpose: Visit Friends/Relative (%)",7.4
"Lanai visitors","Accom: Hostel (%)",1.2
"Lanai visitors","Purpose: Govt/Military (%)",0.3
"Lanai visitors","Accom: Camp site/Beach (%)",2.6
"Lanai visitors","Purpose: Attend school (%)",0.3
"Lanai visitors","Accom: Private room in private home (%)",1.8
"Lanai visitors","Purpose: Sport events (%)",0.8
"Lanai visitors","Accom: Shared room in private home (%)",1.6
"Lanai visitors","Purpose: Other purpose(%)",4.4
"Kauai visitors","Avg. age of party head",47.8
"Kauai visitors","First timer (%)",29.3
"Kauai visitors","Repeaters (%)",70.7
"Kauai visitors","Purpose: Pleasure-net (%)",91.3
"Kauai visitors","Accom: Hotel only (%)",33.4
"Kauai visitors","Purpose: Vacation (%)",86.7
"Kauai visitors","Accom: Condo (%)",20.3
"Kauai visitors","Purpose: Honeymoon/Get married (%)",5.4
"Kauai visitors","Accom: Condo only (%)",14.1
"Kauai visitors","Purpose: Honeymoon (%)",4.8
"Kauai visitors","Accom: Timeshare (%)",15.3
"Kauai visitors","Purpose: Get married (%)",0.9
"Kauai visitors","Accom: Timeshare only (%)",11.5
"Kauai visitors","Purpose: MCI-net (%)",3
"Kauai visitors","Accom: Rental house (%)",15.3
"Kauai visitors","Purpose: Conventions (%)",1.9
"Kauai visitors","Purpose: Corporate meetings (%)",0.6
"Kauai visitors","Accom: Cruise ship (%)",7.4
"Kauai visitors","Purpose: Incentive (%)",0.7
"Kauai visitors","Accom: Friends/Relatives (%)",7.1
"Kauai visitors","Purpose: Other business (%)",2
"Kauai visitors","Accom: B&B (%)",1.7
"Kauai visitors","Purpose: Visit Friends/Relative (%)",6.2
"Kauai visitors","Accom: Hostel (%)",1.2
"Kauai visitors","Purpose: Govt/Military (%)",0.4
"Kauai visitors","Accom: Camp site/Beach (%)",1.6
"Kauai visitors","Purpose: Attend school (%)",0.1
"Kauai visitors","Accom: Private room in private home (%)",1.8
"Kauai visitors","Purpose: Sport events (%)",0.4
"Kauai visitors","Accom: Shared room in private home (%)",0.6
"Kauai visitors","Purpose: Other purpose(%)",2.6
